24-08-28 14:51:23.693 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-08-28 14:51:23.736 [main] INFO  c.b.controller.UserModuleApplication - Starting UserModuleApplication using Java 20.0.2.1 with PID 17064 (D:\spike-backend\user-service\userController\target\classes started by shubham.rathee in D:\spike-backend\user-service) 
24-08-28 14:51:23.736 [main] INFO  c.b.controller.UserModuleApplication - No active profile set, falling back to 1 default profile: "default" 
24-08-28 14:51:24.202 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-08-28 14:51:24.234 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 4 JPA repository interfaces. 
24-08-28 14:51:24.361 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=22ec5caf-a96f-3870-ba50-2f6eb5ac9693 
24-08-28 14:51:24.726 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8181 (http) 
24-08-28 14:51:24.742 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8181"] 
24-08-28 14:51:24.742 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-08-28 14:51:24.742 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26] 
24-08-28 14:51:24.789 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-08-28 14:51:24.789 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1031 ms 
24-08-28 14:51:24.869 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
24-08-28 14:51:24.900 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final 
24-08-28 14:51:24.916 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled 
24-08-28 14:51:25.066 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
24-08-28 14:51:25.082 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
24-08-28 14:51:25.194 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@b2da3a5 
24-08-28 14:51:25.195 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-08-28 14:51:25.210 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
24-08-28 14:51:25.753 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
24-08-28 14:51:25.819 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
24-08-28 14:51:25.935 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. 
24-08-28 14:51:26.430 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
24-08-28 14:51:26.524 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. 
24-08-28 14:51:27.916 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname 
24-08-28 14:51:27.939 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8181"] 
24-08-28 14:51:27.948 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8181 (http) with context path '/' 
24-08-28 14:51:28.971 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname 
24-08-28 14:51:28.981 [main] INFO  c.b.controller.UserModuleApplication - Started UserModuleApplication in 6.49 seconds (process running for 6.782) 
24-08-28 14:51:46.946 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
24-08-28 14:51:46.947 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
24-08-28 14:51:46.948 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
